place_name,texte,score,avg_sentence_length,total_words,total_uncommon_words,uncommon_tokens,passive_sentences,passive_ratio,subordinate_clauses,subordinate_ratio,subordinate_words
Mission Locale d'Aubervilliers / AISPJA,"Modalités d’inscription : Pour vous inscrire, merci de vous munir d’une pièce d’identité en cours de validité (carte d’identité, titre de séjour, passeport) et d’un justificatif de domicile.N.B. : Pour les personnes hébergées ou celles dont l’adresse sur Aubervilliers ne figure pas sur la pièce d’identité, un justificatif de domicile de moins de trois mois (quittance de loyer, facture EDF...) ainsi qu’un certificat d’hébergement, le cas échéant, seront demandés.",68.51492537313433,16.75,67,1,['quittance'],1,0.25,1,0.25,['facture']
Mission Locale La Lyr - Bobigny,"La Mission locale accueille les jeunes de Bobigny de 16 à 25 ans ayant quitté le système scolaire pouvant bénéficier d’un accompagnement personnalisé par un conseiller  La Mission locale vous aide à - définir un projet professionnel- rechercher un emploi, une formation- prendre connaissance des modalités pour travailler à l’étranger - être informé en matière de droits à la santé, au logement, de garde d’enfants, etc. ",46.0,29.5,59,0,[],1,0.5,0,0.0,[]
SOS Victimes 93 - Point d'accès aux droits,"Sos Victimes 93 Aide et accompagne les victimes d’infraction pénale (violence volontaire, escroquerie, accident de la circulation…). La structure propose des permanences juridiques et un soutien psychologique aux victimes à son siège et dans une vingtaine de lieux du département.La prise de rendez-vous par téléphone est obligatoire (sauf pour la permanence juridique au Tribunal Judiciaire de Bobigny, du lundi au vendredi de 13h-17h30).",99.5,15.25,61,0,[],0,0.0,0,0.0,[]
Mission Locale Paris Terres d'Envol - Antenne du Blanc-Mesnil,"La Mission locale accueille les jeunes de 16 à 25 ans ayant quitté le système scolaire pouvant bénéficier d’un accompagnement personnalisé par un conseiller.  La Mission locale vous aide à :- définir un projet professionnel- rechercher un emploi, une formation - prendre connaissance des modalités pour travailler à l’étranger- être informé en matière de droits à la santé, au logement, de garde d’enfants, etc. Accueil ouvert du lundi au vendredi mais les conseillers sont présents uniquement du lundi au jeudi. ",81.0,18.25,73,0,[],1,0.25,0,0.0,[]
Mission Locale Paris Terres d'Envol - Antenne de Drancy,"La Mission locale accueille les jeunes de 16 à 25 ans ayant quitté le système scolaire pouvant bénéficier d’un accompagnement personnalisé par un conseiller.La Mission locale vous aide à :- définir un projet professionnel- rechercher un emploi, une formation- prendre connaissance des modalités pour travailler à l’étrange - être informé en matière de droits à la santé, au logement, de garde d’enfants, etc.",87.5,14.25,57,0,[],1,0.25,0,0.0,[]
PASS - GHI Montfermeil,"La PASS (Permanence d'Accès aux Soins de Santé) du GHI Le Raincy/Montfermeil propose un accueil inconditionnel et un accompagnement des personnes ayant besoin de soins mais n’y ayant pas accès, du fait de l’absence de protection sociale, de leurs conditions de vie, ou de leurs difficultés financières.Bénéficie de la PASS toute personne se présentant à la PASS avec un problème de santé et une difficulté sociale :Une rupture de lien social, isolement L’absence de logement stable ou logement précaireProblème(s) de la couverture socialeLa difficulté d’accès ou de recours aux soinsLes bénéficiaires de la PASS ont accès à :Des consultations de médecine spécialisé Accompagnement social et aide à l’ouverture de droits à l’assurance maladiePossibilité de remise de médicaments sur ordonnance médical Accès au plateau technique de l'hôpital (prise de sang…)  ",57.30769230769231,32.5,130,5,"['Raincy', 'Montfermeil', 'socialeLa', 'soinsLes', 'maladiePossibilité']",0,0.0,0,0.0,[]
La Place Santé,"La Coopérative Communautaire Santé Bien-Être propose des actions de promotion de la santé et un travail de médiation en santé avec les habitants du quartier (aides aux démarches et accès aux droits). La coopérative porte un centre de santé, La Place Santé, avec des médecins généralistes, des médiatrice·teurs en santé, une infirmière en pratique avancée et une psychologue.Service de médecine générale saturé : pas de nouveaux patients acceptés sauf habitant·es du quartier Franc-Moisins/Bel-Air.Pour les consultations médicales, se renseigner auprès du secrétariat médical : 01.48.09.09.17Pour les activités collectives, se renseigner à l’accueil ou auprès des médiatrices : 01.48.09.09.01 ",88.14468085106384,18.8,94,2,"['Moisins', 'médiatrices']",0,0.0,0,0.0,[]
Mission Locale Intercommunale - antenne de Bondy,"La Mission locale accueille les jeunes de 16 à 25 ans ayant quitté le système scolaire pouvant bénéficier d’un accompagnement personnalisé par un conseiller La Mission locale vous aide à :- définir un projet professionnel - rechercher un emploi, une formation- prendre connaissance des modalités pour travailler à l’étranger- être informé en matière de droits à la santé, au logement, de garde d’enfants, etc. Accueille les jeunes de Bondy.",86.5,15.5,62,0,[],1,0.25,0,0.0,[]
point-justice du Pré Saint-Gervais,"Le point-justice du Pré Saint-Gervais est un service juridique de proximité qui peut être sollicité en dehors de tout procès ou bien avant, pendant ou après un procès. C’est un lieu d’accueil, d’orientation et d’information sur les droits et obligations dans de nombreux domaines de droit (famille, pénal, travail, étranger, etc.).Le point-justice permet à chaque personne, quels que soient ses revenus, son lieu de vie, son âge, son sexe, sa nationalité, etc. de :connaître ses droits, ses devoirs et obligations ;être informée sur les moyens de les faire valoir ;être orientée vers les structures adaptées ; être aidée à accomplir des démarches ; être informée sur la médiation ; être mise en relation avec un conciliateur de justice.Les permanences des professionnels du droit ou des associations qui s’y déroulent sont gratuites, confidentielles et accessibles à tous. Elles sont généralement accessibles sur rendez-vous qui est fixé par l’agent d’accueil du point-justice après analyse de la difficulté rencontrée.",72.47058823529412,17.0,153,1,['conciliateur'],4,0.4444444444444444,0,0.0,[]
Mission Locale CODE - antenne d'Épinay-sur-Seine,"La Mission Locale accueille les jeunes de 16 à 25 ans ayant quitté le système scolaire pouvant bénéficier d’un accompagnement personnalisé par un conseiller.  La Mission Locale vous aide à :Définir un projet professionnel Rechercher un emploi, une formationPrendre connaissance des modalités pour travailler à l’étranger Être informé en matière de droits à la santé, au logement, de garde d’enfants, etc  ",42.610169491525426,29.5,59,1,['formationPrendre'],1,0.5,0,0.0,[]
Mission Locale CODE- antenne de Saint-Ouen-sur-Seine,"La Mission Locale accueille les jeunes de 16 à 25 ans ayant quitté le système scolaire pouvant bénéficier d’un accompagnement personnalisé par un conseiller.  La Mission Locale vous aide à :Définir un projet professionnel Rechercher un emploi, une formationPrendre connaissance des modalités pour travailler à l’étranger Être informé en matière de droits à la santé, au logement, de garde d’enfants, etc  ",42.610169491525426,29.5,59,1,['formationPrendre'],1,0.5,0,0.0,[]
PASS - Hôpital Avicenne,"La PASS (Permanence d'Accès aux Soins de Santé) de l'Hôpital Avicenne propose un accueil inconditionnel et un accompagnement des personnes ayant besoin de soins mais n’y ayant pas accès, du fait de l’absence de protection sociale, de leurs conditions de vie, ou de leurs difficultés financièresLa PASS de l'Hôpital Avicenne donne accès à des consultations de médecine générale, la délivrance de traitement, la réalisation d’examens complémentaires et à un accompagnement social pour l’obtention des droits.",0.0,75.0,75,3,"['Avicenne', 'financièresLa', 'Avicenne']",0,0.0,0,0.0,[]
Mission Locale CODE - antenne de Villetaneuse,"La Mission Locale accueille les jeunes de 16 à 25 ans ayant quitté le système scolaire pouvant bénéficier d’un accompagnement personnalisé par un conseiller.La Mission Locale vous aide à :définir un projet professionnelrechercher un emploi, une formationprendre connaissance des modalités pour travailler à l’étrangerêtre informé en matière de droits à la santé, au logement, de garde d’enfants, etc Ouvert aux demandeurs d'asile et réfugiés avec autorisation de travailler en France ou Union Européenne.",24.66666666666667,36.0,72,3,"['professionnelrechercher', 'formationprendre', 'étrangerêtre']",1,0.5,0,0.0,[]
PASS - Hôpital Jean Verdier,"La PASS (Permanence d'Accès aux Soins de Santé) de l'Hôpital Jean Verdier propose un accueil inconditionnel et un accompagnement des personnes ayant besoin de soins mais n’y ayant pas accès, du fait de l’absence de protection sociale, de leurs conditions de vie, ou de leurs difficultés financières.La PASS de l'Hôpital Jean Verdier donne  accès, après examen de la situation des personnes et notamment de l'ouverture de droits de santé, à des consultations de médecine générale. Polyclinique : consultations sur RDV du lundi au vendrediService social : 01 48 02 62 88 ",82.79411764705883,21.25,85,2,"['Polyclinique', 'vendrediService']",0,0.0,0,0.0,[]
point-justice de Livry-Gargan,"Le point-justice de Livry-Gargan est un service juridique de proximité qui peut être sollicité en dehors de tout procès ou bien avant, pendant ou après un procès. C’est un lieu d’accueil, d’orientation et d’information sur les droits et obligations dans de nombreux domaines de droit (famille, pénal, travail, étranger, etc.).Le point-justice permet à chaque personne, quels que soient ses revenus, son lieu de vie, son âge, son sexe, sa nationalité, etc. de : connaître ses droits, ses devoirs et obligations ;être informée sur les moyens de les faire valoir ;être orientée vers les structures adaptées ;être aidée à accomplir des démarches ;être informée sur la médiation ;être mise en relation avec un conciliateur de justice.Les permanences des professionnels du droit ou des associations qui s’y déroulent sont gratuites, confidentielles et accessibles à tous. Elles sont généralement accessibles sur rendez-vous qui est fixé par l’agent d’accueil du point-justice après analyse de la difficulté rencontrée.",68.83116883116884,14.0,154,3,"['Livry', 'Gargan', 'conciliateur']",6,0.5454545454545454,0,0.0,[]
Mission Locale de La Courneuve,"Modalités d’inscription : Pour vous inscrire, merci de vous munir d’une pièce d’identité en cours de validité (carte d’identité, titre de séjour, passeport) et d’un justificatif de domicile.N.B. : Pour les personnes hébergées ou celles dont l’adresse sur La Courneuve ne figure pas sur la pièce d’identité, un justificatif de domicile de moins de trois mois (quittance de loyer, facture EDF...) ainsi qu’un certificat d’hébergement, le cas échéant, seront demandés.",65.11764705882354,17.0,68,2,"['Courneuve', 'quittance']",1,0.25,1,0.25,['facture']
PASS - CHI Robert Ballanger,"La PASS (Permanence d'Accès aux Soins de Santé) du CHI Robert Ballanger propose un accueil inconditionnel et un accompagnement des personnes ayant besoin de soins mais n’y ayant pas accès, du fait de l’absence de protection sociale, de leurs conditions de vie, ou de leurs difficultés financières.Bénéficie de la PASS toute personne se présentant à la PASS avec un problème de santé urgent ET au minimum un des critères suivants:La rupture du lien socialL’absence de logement stable ou logement précaireProblème(s) de la couverture social La difficulté d’accès ou de recours aux soinsLes bénéficiaires de la PASS ont accès à :Des consultations de médecine spécialisé Accompagnement social et aide à l’ouverture de droits à l’assurance maladiePossibilité de remise de médicaments sur ordonnance médical Prises de sang",89.23809523809524,18.0,126,3,"['Ballanger', 'soinsLes', 'maladiePossibilité']",0,0.0,0,0.0,[]
Mission Locale de la Dhuys - Clichy-sous-Bois,"La Mission locale de la Dhuys accueille les jeunes de 16 à 25 ans ayant quitté le système scolaire pouvant bénéficier d’un accompagnement personnalisé par un conseiller La Mission locale de la Dhuys vous aide à  : - définir un projet professionnel- rechercher un emploi, une formation- prendre connaissance des modalités pour travailler à l’étranger- être informé en matière de droits à la santé, au logement, de garde d’enfants, etc. Les pièces à fournir : Une pièce d’identité (carte d’identité, passeport) ou un titre de séjour en cours de validitéVotre carte Vitale ou votre numéro de Sécurité social Un CV si vous en avez un",86.60714285714286,13.714285714285714,96,3,"['Dhuys', 'Dhuys', 'validitéVotre']",1,0.14285714285714285,0,0.0,[]
point-justice de Drancy,"Le point-justice de Drancy est un service juridique de proximité qui peut être sollicité en dehors de tout procès ou bien avant, pendant ou après un procès. C’est un lieu d’accueil, d’orientation et d’information sur les droits et obligations dans de nombreux domaines de droit (famille, pénal, travail, étranger, etc.).Le point-justice permet à chaque personne, quels que soient ses revenus, son lieu de vie, son âge, son sexe, sa nationalité, etc. de :connaître ses droits, ses devoirs et obligations ;être informée sur les moyens de les faire valoir ;être orientée vers les structures adaptées ;être aidée à accomplir des démarches ;être informée sur la médiation ;être mise en relation avec un conciliateur de justice.Les permanences des professionnels du droit ou des associations qui s’y déroulent sont gratuites, confidentielles et accessibles à tous. Elles sont généralement accessibles sur rendez-vous qui est fixé par l’agent d’accueil du point-justice après analyse de la difficulté rencontrée.",68.09281045751635,15.3,153,1,['conciliateur'],6,0.6,0,0.0,[]
PASS - Centre hospitalier de Saint-Denis Delafontaine,"La PASS  (Permanence d'Accès aux Soins de Santé) du Centre Hospitalier de Saint-Denis propose un accueil inconditionnel et un accompagnement des personnes ayant besoin de soins mais n’y ayant pas accès, du fait de l’absence de protection sociale, de leurs conditions de vie, ou de leurs difficultés financières.La PASS du Centre Hospitalier de Saint-Denis donne accès à des consultations de médecine générale et de médecine spécialisée (pédiatrie, stomatologie, ORL, ophtalmologie, neurologie, rhumatologie, gastro-entérologie, maladies infectieuses et tropicales), de dentaire et de PMI (consultation avec une sage-femme). Comment fonctionne la PASS :-Prenez rendez-vous auprès de la cellule des rendez-vous centralisés des consultations externes dans la spécialité concernée : 01 42 35 61 40-Le jour de votre consultation, présentez-vous deux heures avant votre rendez-vous au service social pour effectuer les démarches nécessaires à votre prise en charge-Présentez-vous à votre consultation à l’horaire fixé",44.36641221374046,32.75,131,5,"['stomatologie', 'ophtalmologie', 'neurologie', 'rhumatologie', 'centralisés']",0,0.0,1,0.25,['de']
Mission Locale Intercommunale - antenne de Montreuil,"La Mission locale accueille les jeunes de 16 à 25 ans ayant quitté le système scolaire pouvant bénéficier d’un accompagnement personnalisé par un conseiller La Mission locale vous aide à :- définir un projet professionnel- rechercher un emploi, une formation- prendre connaissance des modalités pour travailler à l’étranger - être informé en matière de droits à la santé, au logement, de garde d’enfants, etc.",75.33333333333334,19.0,57,0,[],1,0.3333333333333333,0,0.0,[]
Maison des services publics de Montfermeil,"Un lieu d'accueil et d'information pour simplifier vos démarches, améliorer l'accès, l'écoute et le dialogue avec les services publics.   Plusieurs services publics (Mairie, Sous-Préfecture, CPAM, CAF...) y effectuent des permanences ainsi que plusieurs associations (ARIFA, CDAD, ADIL 93, CIDFF 93...)",66.66666666666667,12.333333333333334,37,0,[],0,0.0,2,0.6666666666666666,"['améliorer', 'ADIL']"
Mission Locale de la Lyr - Pantin,"La Mission locale de la Lyr à Pantin accueille les jeunes de Pantin de 16 à 25 ans ayant quitté le système scolaire pouvant bénéficier d’un accompagnement personnalisé par un conseiller  La Mission locale de la Lyr vous aide à - définir un projet professionnel - rechercher un emploi, une formation - prendre connaissance des modalités pour travailler à l’étranger - être informé en matière de droits à la santé, au logement, de garde d’enfants, etc. La Mission Locale de la Lyr est à l'intérieur de la Maison de l'Emploi de Pantin ",78.94117647058823,17.0,85,3,"['Lyr', 'Lyr', 'Lyr']",1,0.2,0,0.0,[]
