Services;Description type
Halte de nuit;Une halte de nuit est un lieu hébergement temporaire pour une nuit.
Hébergement citoyen;L’hébergement citoyen permet de loger temporairement chez un habitant. Cet hébergement est réglementé par une association ou un service public.
Hébergement d’urgence;L'hébergement d'urgence permet aux personnes d’accéder à un abri immédiat et sécurisé, de plusieurs nuits à plusieurs mois.
Hébergement long-terme;L’hébergement long terme permet aux personnes de bénéficier d'un logement adapté pour une longue durée, dans le cadre d'un parcours de réinsertion et avec un accompagnement social dédié.
Infirmerie;Consultation où l’infirmier réalise des soins, fait des pansements, administre des médicaments ou vaccins, et donne des conseils pour la santé.
Insertion par l’Activité Economique;L’insertion par l’activité économique (IAE) aide les personnes éloignées de l’emploi, en raison de difficultés sociales ou professionnelles, à retrouver un travail. Ce dispositif propose un accompagnement renforcé et des contrats de travail adaptés pour favoriser l'insertion sociale et professionnelle.
Jardin solidaire;Un jardin solidaire est un jardin où des personnes s'occupent de faire pousser des fruits, légumes et aromates. Elles jardinent ensemble et partagent les récoltes.
kinesitherapie;Consultation où le kinésithérapeute aide à soulager la douleur, améliorer les mouvements et rééduquer le corps après une blessure ou une opération grâce à des exercices et des massages.
Laverie;Machines à laver accessibles pour laver ses vêtements.
mammographie;Examen médical par radiographie permettant d'examiner les seins et de détecter d'éventuelles anomalies, comme un cancer du sein.
Masques;Distribution de masques chirurgicaux ou en tissus, pour éviter la propagation de maladies.
Médecin généraliste;Consultation où un médecin examine un patient, écoute ses symptômes, pose des questions et donne des conseils ou un traitement pour soigner une maladie ou prévenir des problèmes de santé.
Mise à disposition de véhicule;Véhicule, comme une voiture, prêté gratuitement ou à prix réduit.
Musée;Musées gratuits ou à tarif réduit.
nutrition;Consultation où le spécialiste aide à équilibrer l’alimentation en fonction des besoins et de la santé du patient.
ophtalmologie;Consultation où le spécialiste des yeux examine la vision, diagnostique les troubles oculaires et prescrit des traitements ou des corrections si nécessaire.
Ordinateur;Ordinateur disponible, en accès libre ou sur inscription, pour réaliser différentes tâches numériques (internet, bureautique...)
orthophonie;Consultation où le spécialiste aide à améliorer la parole, la communication et la déglutition chez les enfants et les adultes.
osteo;Consultation où le praticien utilise des manipulations manuelles pour soulager les douleurs et rétablir l’équilibre du corps.
oto-rhino-laryngologie;Consultation où le spécialiste des oreilles, du nez et de la gorge examine, diagnostique et traite les affections liées à ces organes.
Panier alimentaire;"Le panier alimentaire (appelés aussi colis alimentaires) est une forme d'aide alimentaire. Les personnes qui en ont besoin pourront recevoir des produits alimentaires à cuisiner gratuitement ou à petit prix  :
- soit dans un panier déjà tout prêt ;
- ou bien à choisir eux mêmes sur un étal."
pedicure;Consultation où le spécialiste examine et soigne les pieds ainsi que les troubles liés à la marche.
Permanence juridique;Entretien gratuit, anonyme et confidentiel avec un juriste qui informe sur les difficultés juridiques et les démarches à entreprendre (titre de séjour, droit d'asile, victimes de violence, conflits familiaux...)
phlebologie;Consultation où le médecin spécialiste des veines examine la circulation sanguine et traite les problèmes comme les varices.
pneumologie;Consultation où le spécialiste des poumons examine la respiration, dépiste et traite les maladies respiratoires comme l’asthme ou la bronchite.
Point d'information et d’orientation;Le point d'information et d'orientation est un service qui donne des informations générales sur les droits des personnes et aide à orienter vers les services appropriés.
Prise;Prises électriques accessibles, pour recharger son téléphone portable, par exemple.
Produits d'hygiène;Les produits d'hygiène permettent de nettoyer, protéger et prendre soin du corps : gel douche, protections périodiques, serviettes...
Psychologie;Echange avec un psychologue, ou en groupe, pour exprimer ses difficultés, recevoir un soutien et trouver des solutions adaptées.
radiologie;Examen médical utilisant des images (rayons X, IRM, scanner…) pour observer l’intérieur du corps et aider au diagnostic.
rhumatologie;Consultation où le spécialiste des articulations et des os évalue et traite des douleurs comme l’arthrose ou l’ostéoporose.
Soins enfants;Consultation de médecine pour les enfants :   santé, croissance, les maladies qu'ils peuvent avoir, de la naissance jusqu'à l'adolescence.
Soutien scolaire;Accompagnement, individuel ou collectif, dans la scolarité : aide aux devoirs, cours, préparation d'examen...
stomatologie;Consultation où le spécialiste de la bouche, des dents et du visage soigne les pathologies buccales et maxillaires.
Suivi Grossesse;Consultations médicales pour vérifier la santé de la mère et du bébé, suivre le développement de la grossesse et préparer l’accouchement.
Téléphone;Téléphone accessible, pour appeler ses proches par exemple.
Toilettes;Toilettes accessibles.
Transport avec chauffeur;Le transport avec chauffeur permet de se déplacer en voiture ou bus sans avoir à conduire. C'est un service assuré gratuitement ou à prix réduit.
urologie;Consultation où le spécialiste des voies urinaires et des organes génitaux examine, diagnostique et traite les troubles urinaires ou sexuels.
Vaccination;Séance de vaccination où un vaccin est injecté pour protéger contre certaines maladies (grippe, COVID, hépatites...) en aidant le corps à se défendre.
Vêtements;Vêtements gratuits ou à petit prix.
Vétérinaire;Consultation où le vétérinaire examine un animal, vérifie sa santé, soigne ses maladies et donne des conseils pour son bien-être
Wifi;Connexion à un réseau wifi qui permet d'accéder à internet, sur un ordinateur, un smartphone...
